,id,IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV
Gs(U)_IB_58_N1,0.017403564637134085,0.0012257176310656605,0.001558524384475137,0.062107670222197424,0.045069919763912315,-0.001082839249358782,0.020936351692187948,0.020850970313031326,0.07166693508827116,0.16084077425647506,1.0,0.5519812681358128,-0.010073205688087021,-0.0065092424968144465,-0.00437937547963188,-0.03639235421168801,-0.011387522140007792,-0.003774921730214981,-0.03750488314998778,-0.09500781852338591,-0.03088694070756508,0.002987121709873968,0.03161268630204104,-0.009804988187498824,0.21893336768811,0.08974528393260214,0.14699520591052592,0.007180764323736268,0.009573040894774386
Gs(U)_IB_60_N1,0.009089597928730566,0.000444579987903521,-0.0025414894762323353,0.05473329014859585,0.04165316262504311,-0.004424243037295751,0.0173757562816236,0.02014584528828187,0.06609507737999223,0.17262698657295594,0.5519812681358128,1.0,-0.009770505209265371,-0.005239846562486226,-0.005007254882531613,-0.029981687579124006,-0.018263439910315316,-0.00080731828124657,-0.036420990851642895,-0.10275556295290122,-0.04019871665668382,-0.00044570146601636033,0.020425988624050373,-0.008574328629675014,0.21860442890545623,0.0790629931663168,0.1430461608228874,0.000465186383349381,0.0009455051354759105
Z1_NO_sideL35_M,-0.005337060511843221,-0.033312509032044905,-0.18908234927100734,-0.2778768589469804,-0.27485989031057984,-0.18753088819558378,-0.1586616557207336,-0.15697436268140413,-0.16913509024829085,-0.004105496797068483,-0.010073205688087021,-0.009770505209265371,1.0,-0.05960557504643713,0.005258376075138943,-0.050388155652605245,0.27144614851736765,-0.014783010926858164,0.16960930954230527,0.23488595673542811,0.02201208381152181,0.0807404654014761,0.015582898471057025,-0.04602332159268023,-0.47878197788261223,0.1882080202406047,0.006828291494773832,0.06473253829520687,0.036371463900806755
HP_NO_sideL35_CV,0.017760624377440783,0.02417492478509651,0.0560817738046974,0.0586275843298828,0.054768779153339706,0.042628968119239115,0.06932848419645042,0.06379661960990798,0.03219567922796248,-0.00040091733140973005,-0.0065092424968144465,-0.005239846562486226,-0.05960557504643713,1.0,-0.03993121082921441,0.005575109595419523,-0.1482012433829357,-0.22393903827598177,0.025641239103013507,-0.09629796018168146,-0.042652812588474455,-0.006028948203537618,-0.009984467699266945,-0.0011895670389527944,0.05644949917784516,-0.04223942891964247,-0.014535963441695943,-0.03671139286117697,-0.012860632487435051
Z1_NO_sideR35_CV,-0.015596224642332129,-0.0031996061605273946,-0.002116132586199568,-0.011676126740385684,0.008308347974711203,-0.015602014705891449,-0.008193999441225838,-0.010922951408856364,0.014333603932161102,-0.0037773462147461883,-0.00437937547963188,-0.005007254882531613,0.005258376075138943,-0.03993121082921441,1.0,0.1189911365571119,0.0015720388219209215,0.32843131991109015,0.024731196351087063,0.04203773085683737,0.010852306244417494,0.0009338345132022782,0.004499959000527876,0.020293018142291116,0.013074387045198213,-0.005346609064137237,-0.016247417658194003,0.015411074504939785,0.01732672731189901
Pb_NO_sideR35_S,-0.02277624520155657,-0.0002859133797900136,-0.028598543948541284,0.02406705299644528,0.02649891468435788,-0.022180640820936497,-0.0703339457524139,-0.06826631581440183,-0.012325197743853813,-0.022316451539933727,-0.03639235421168801,-0.029981687579124006,-0.050388155652605245,0.005575109595419523,0.1189911365571119,1.0,-0.033364325448445156,0.08069317695496506,0.04506127987487697,-0.07759059015200861,-0.06716274161802302,0.11074331379614714,0.011947989473499203,0.21044396905054932,0.16872768617102768,-0.11041793154094878,-0.082096936400768,-0.10841901298307777,-0.006030796158641258
IP_NO_sideL35_SI71,-0.006903952792348197,-0.020437489976793743,-0.14422080125269657,-0.11699238285438467,-0.12618474504736577,-0.16183396632269204,-0.1424193587105555,-0.13762144761001327,-0.11838843133582236,-0.020322468128790894,-0.011387522140007792,-0.018263439910315316,0.27144614851736765,-0.1482012433829357,0.0015720388219209215,-0.033364325448445156,1.0,0.04776557266904418,0.0814761353834008,0.3508969870462781,0.11956219055680078,0.16149118088365658,0.1681793338411983,0.051771482547999556,-0.19193141711355652,0.14844636004103862,-0.03576562066685759,0.17131680255115717,0.05795634555999538
Z1_NO_PRT_CV,-0.015913106720007182,-0.008584630852651218,-0.02478043199897071,0.01337034623823201,0.015518649654935353,-0.01994289911879,-0.038060928518986244,-0.03717552171906461,0.0040736115076614975,0.005904621489500328,-0.003774921730214981,-0.00080731828124657,-0.014783010926858164,-0.22393903827598177,0.32843131991109015,0.08069317695496506,0.04776557266904418,1.0,0.02367780718853547,0.07651990591873145,0.025038613393457382,0.0029516953762102893,0.014538182472558097,0.03331504227369621,0.04364501693289442,-0.010597904585363974,-0.0180641361984065,0.011195748809718227,0.013242919432423523
Z2_NO_AHR_CV,-0.0016126277128110037,-0.01352388790782415,-0.04667918076047967,-0.015755009975134498,-0.029695847231682462,-0.05230080969497943,-0.049116116871182884,-0.05487805443350906,-0.051855005580832406,-0.0372661583312939,-0.03750488314998778,-0.036420990851642895,0.16960930954230527,0.025641239103013507,0.024731196351087063,0.04506127987487697,0.0814761353834008,0.02367780718853547,1.0,0.13428993382708812,-0.04539552219069451,-0.04980306322991707,-0.08096968505077572,-0.002417207554555581,-0.09298915815689772,0.034011981248818254,-0.15963734552220685,0.02106968525306667,0.026319428150686122
Gs(U)_NO_ALR_SI71,-0.013985396920599823,-0.036287382743421616,-0.10081336377909511,-0.10770590676722219,-0.11484643652230843,-0.11708516011844514,-0.1656619272228255,-0.17147807177346686,-0.1022561685336803,-0.10110701297297145,-0.09500781852338591,-0.10275556295290122,0.23488595673542811,-0.09629796018168146,0.04203773085683737,-0.07759059015200861,0.3508969870462781,0.07651990591873145,0.13428993382708812,1.0,0.04387550720356608,0.13403759976795515,0.07955597147297268,0.024168244205662992,-0.24427700816479445,0.20849354342742915,0.012822381011286894,0.07367043178979167,0.04888407507957403
Z3_NO_UCR_S,0.0032449338590521504,0.01362930419776909,-0.004091213395929285,-0.03193501714901127,-0.02953691770717589,-0.02276891909717621,0.01532114816966005,0.01431856238982607,-0.03550344689562252,-0.037548193385319915,-0.03088694070756508,-0.04019871665668382,0.02201208381152181,-0.042652812588474455,0.010852306244417494,-0.06716274161802302,0.11956219055680078,0.025038613393457382,-0.04539552219069451,0.04387550720356608,1.0,0.3495088790432638,0.47389573687590464,0.006032832237883606,-0.08545487971127069,-0.03787226170660746,0.07464364666270769,0.06739376278218148,0.03577893974372018
Z3_NO_UCR_N1,-0.008372205970188963,-0.017620795572872636,-0.028939809470566773,-0.029317873559667765,-0.02928681104677001,-0.04702891476500669,0.00693467266168539,0.007605566724924422,0.0024974054973057563,-0.005368930347207166,0.002987121709873968,-0.00044570146601636033,0.0807404654014761,-0.006028948203537618,0.0009338345132022782,0.11074331379614714,0.16149118088365658,0.0029516953762102893,-0.04980306322991707,0.13403759976795515,0.3495088790432638,1.0,0.7435741713127456,0.2258872869790333,-0.04664050991366882,0.0006506023461543663,0.2079523368068249,0.08573013286913975,0.022768837988351623
ECI_NO_UCR_CV,-0.0024862795382433914,-0.003351460465757512,-0.05542787932317749,0.02184857391627223,0.019530636949320026,-0.06992092969102501,0.07038633523524708,0.07162976426942817,0.030244429611106023,0.019794953064700603,0.03161268630204104,0.020425988624050373,0.015582898471057025,-0.009984467699266945,0.004499959000527876,0.011947989473499203,0.1681793338411983,0.014538182472558097,-0.08096968505077572,0.07955597147297268,0.47389573687590464,0.7435741713127456,1.0,0.08842603563214362,0.008166443500859398,0.03086781640036496,0.10778387267142261,0.09529727100617215,0.032794745107268174
Pa_NO_BSR_SI71,-0.005507421449602585,-0.009535804001388462,0.027714660617146454,0.006002088861379729,-0.004944733290266517,0.02673526682806483,-0.03578604095681504,-0.043135341144068126,0.005866846831429844,-0.0076810389643140915,-0.009804988187498824,-0.008574328629675014,-0.04602332159268023,-0.0011895670389527944,0.020293018142291116,0.21044396905054932,0.051771482547999556,0.03331504227369621,-0.002417207554555581,0.024168244205662992,0.006032832237883606,0.2258872869790333,0.08842603563214362,1.0,0.13876151245011994,-0.1011625066350749,-0.08337201713626229,-0.014403395303389036,-0.03499677877619881
ISA_NO_NPR_S,0.004080926931230929,0.01052924856186814,0.13572729366083988,0.25592139196654573,0.26127930611635,0.13166228862364007,0.11762943151530411,0.11724902493083712,0.21680553838527342,0.2341859246988957,0.21893336768811,0.21860442890545623,-0.47878197788261223,0.05644949917784516,0.013074387045198213,0.16872768617102768,-0.19193141711355652,0.04364501693289442,-0.09298915815689772,-0.24427700816479445,-0.08545487971127069,-0.04664050991366882,0.008166443500859398,0.13876151245011994,1.0,-0.17788933834874077,-0.03194797816164365,-0.10606711022373565,-0.07157511805851738
Z3_NO_NPR_V,0.012891761746150456,0.023292515794306745,-0.1363451524404092,0.07526252094401549,0.05919448048223858,-0.1260748482163626,-0.011754199264777844,-0.005834913677733779,0.0806855737811506,0.0657485407338298,0.08974528393260214,0.0790629931663168,0.1882080202406047,-0.04223942891964247,-0.005346609064137237,-0.11041793154094878,0.14844636004103862,-0.010597904585363974,0.034011981248818254,0.20849354342742915,-0.03787226170660746,0.0006506023461543663,0.03086781640036496,-0.1011625066350749,-0.17788933834874077,1.0,0.07812070112837798,-0.014251932910068961,-0.025720484529963936
IP_NO_PLR_S,0.0368336601986967,0.03845105596327036,0.12685438651449682,0.05620109087407861,0.05072452446925249,0.1430467098547892,0.015245520226789013,0.018101258996427724,0.1565584044812158,0.1327253459680743,0.14699520591052592,0.1430461608228874,0.006828291494773832,-0.014535963441695943,-0.016247417658194003,-0.082096936400768,-0.03576562066685759,-0.0180641361984065,-0.15963734552220685,0.012822381011286894,0.07464364666270769,0.2079523368068249,0.10778387267142261,-0.08337201713626229,-0.03194797816164365,0.07812070112837798,1.0,0.06820949379871187,0.13386542334946075
Pb_NO_PCR_V,0.003301952762318287,0.02364651208086612,0.03251904997966181,-0.045453853685780324,-0.03729389803671312,0.023932993117838534,0.04425587934251775,0.043359920828229204,0.0036905517023947797,0.0012714152695043942,0.007180764323736268,0.000465186383349381,0.06473253829520687,-0.03671139286117697,0.015411074504939785,-0.10841901298307777,0.17131680255115717,0.011195748809718227,0.02106968525306667,0.07367043178979167,0.06739376278218148,0.08573013286913975,0.09529727100617215,-0.014403395303389036,-0.10606711022373565,-0.014251932910068961,0.06820949379871187,1.0,0.3509510783885146
ECI_NO_PCR_CV,-0.007566266902034956,0.012960156504900637,0.00864525541241628,-0.02999088580967243,-0.03225952498005272,0.01958983789986281,0.03841358372581842,0.03110781565262131,0.0024593843101759195,-0.007343095670658241,0.009573040894774386,0.0009455051354759105,0.036371463900806755,-0.012860632487435051,0.01732672731189901,-0.006030796158641258,0.05795634555999538,0.013242919432423523,0.026319428150686122,0.04888407507957403,0.03577893974372018,0.022768837988351623,0.032794745107268174,-0.03499677877619881,-0.07157511805851738,-0.025720484529963936,0.13386542334946075,0.3509510783885146,1.0
